Main Category,Sub-Category,Hierarchy Path,Component Role,Constraint Text,Subcategory Min Qty,Subcategory Max Qty,Table Rule/Note,Product #,Option Type,Description,Current Qty,Unit Price (USD),Price Delta (USD),Extended Price (USD),Price per GB (USD),HPE Recommended,Start Date,Discontinued Date,Diff Status,Previous List Price (USD),Price Change (USD),Price Change (%),Price History Trail
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74572-B21,Standard,Intel Xeon 6728P 2.7GHz 24-core 210W Processor for HPE,0,"$7,493.00","$3,251.00","$14,986.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$7,493.00",$0.00,$0.00,2026-08-22: $7493.00 → 2026-08-24: $3251.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74573-B21,Standard,Intel Xeon 6730P 2.5GHz 32-core 250W Processor for HPE,0,"$10,516.00","$6,274.00","$21,032.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$10,516.00",$0.00,$0.00,2026-08-22: $10516.00 → 2026-08-24: $6274.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74575-B21,Standard,Intel Xeon 6736P 2.0GHz 36-core 205W Processor for HPE,0,"$10,247.00","$6,005.00","$20,494.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$10,247.00",$0.00,$0.00,2026-08-22: $10247.00 → 2026-08-24: $6005.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74576-B21,Standard,Intel Xeon 6737P 2.9GHz 32-core 270W Processor for HPE,0,"$14,682.00","$10,440.00","$29,364.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$14,682.00",$0.00,$0.00,2026-08-22: $14682.00 → 2026-08-24: $10440.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74577-B21,Standard,Intel Xeon 6738P 2.9GHz 32-core 270W Processor for HPE,0,"$17,305.00","$13,063.00","$34,610.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$17,305.00",$0.00,$0.00,2026-08-22: $17305.00 → 2026-08-24: $13063.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74578-B21,Standard,Intel Xeon 6732P 3.8GHz 32-core 350W Processor for HPE,0,"$13,581.00","$9,339.00","$27,162.00",,No,03/02/2026,06/30/2029,UNCHANGED,"$13,581.00",$0.00,$0.00,2026-08-22: $13581.00 → 2026-08-24: $9339.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74579-B21,Standard,Intel Xeon 6748P 2.5GHz 48-core 300W Processor for HPE,0,"$38,913.00","$34,671.00","$77,826.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$38,913.00",$0.00,$0.00,2026-08-22: $38913.00 → 2026-08-24: $34671.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P81591-B21,Standard,Intel Xeon 6745P 3.1GHz 32-core 300W Processor for HPE,0,"$14,818.00","$10,576.00","$29,636.00",,No,07/07/2025,06/30/2029,UNCHANGED,"$14,818.00",$0.00,$0.00,2026-08-22: $14818.00 → 2026-08-24: $10576.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P87302-B21,Standard,Intel Xeon 6725P 3.7GHz 16-core 235W Processor for HPE,0,"$12,209.00","$7,967.00","$24,418.00",,No,01/05/2026,06/30/2029,UNCHANGED,"$12,209.00",$0.00,$0.00,2026-08-22: $12209.00 → 2026-08-24: $7967.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P90157-B21,Standard,Intel Xeon 6762P 2.9GHz 64-core 350W Processor for HPE,0,"$46,351.00","$42,109.00","$92,702.00",,No,04/06/2026,06/30/2029,UNCHANGED,"$46,351.00",$0.00,$0.00,2026-08-22: $46351.00 → 2026-08-24: $42109.00 (▼)
Cooling / Thermal,Standard & Performance Heat Sinks,HPE OCA > DL380 Gen12 > Cooling / Thermal > Standard & Performance Heat Sinks,Cooling / Thermal,max 6,0,6,Selection constraint for Standard & Performance Heat Sinks: max 6,P74792-B21,Standard,HPE ProLiant Compute DL380 2U High Performance Heat Sink Kit,2,$316.00,,$632.00,,No,02/24/2025,06/30/2029,UNCHANGED,$316.00,$0.00,$0.00,2026-08-22: $316.00 → 2026-08-24: $2242025.00 (▲)
Cooling / Thermal,Standard & Performance Heat Sinks,HPE OCA > DL380 Gen12 > Cooling / Thermal > Standard & Performance Heat Sinks,Cooling / Thermal,max 6,0,6,Mixing of Heat sink is not allowed.,P49145-B21,Standard,HPE ProLiant DL380 2U Standard Heat Sink Kit,0,$133.00,,NA,,No,04/03/2023,05/31/2028,UNCHANGED,$133.00,$0.00,$0.00,2026-08-22: $133.00 → 2026-08-24: (no price)
Cooling / Thermal,Standard & Performance Heat Sinks,HPE OCA > DL380 Gen12 > Cooling / Thermal > Standard & Performance Heat Sinks,Cooling / Thermal,max 6,0,6,Mixing of Heat sink is not allowed.,P74204-B21,Standard,HPE ProLiant Compute DL380 Gen12 Cold Plate Module FIO Kit from PCIe NS204-u,0,"$2,027.00",,NA,,No,02/24/2025,06/30/2029,UNCHANGED,"$2,027.00",$0.00,$0.00,2026-08-22: $2027.00 → 2026-08-24: $2242025.00 (▲)
Cooling / Thermal,Standard & Performance Heat Sinks,HPE OCA > DL380 Gen12 > Cooling / Thermal > Standard & Performance Heat Sinks,Cooling / Thermal,max 6,0,6,Mixing of Heat sink is not allowed.,P74208-B21,Standard,HPE ProLiant Compute DL3XX Gen12 Cold Plate Module FIO Kit from PCIe,0,"$1,996.00",,NA,,No,02/24/2025,02/28/2028,UNCHANGED,"$1,996.00",$0.00,$0.00,2026-08-22: $1996.00 → 2026-08-24: $2242025.00 (▲)
Cooling / Thermal,Standard & Performance Heat Sinks,HPE OCA > DL380 Gen12 > Cooling / Thermal > Standard & Performance Heat Sinks,Cooling / Thermal,max 6,0,6,Mixing of Heat sink is not allowed.,P74787-B21,Standard,HPE ProLiant Compute DL3XX Gen12 High Performance Heat Sink Kit,0,$293.00,,NA,,No,02/24/2025,02/28/2028,UNCHANGED,$293.00,$0.00,$0.00,2026-08-22: $293.00 → 2026-08-24: $2242025.00 (▲)
Cooling / Thermal,Standard & Performance Heat Sinks,HPE OCA > DL380 Gen12 > Cooling / Thermal > Standard & Performance Heat Sinks,Cooling / Thermal,max 6,0,6,Mixing of Heat sink is not allowed.,P74794-B21,Standard,HPE ProLiant Compute DL380 2U Max Performance Heat Sink Kit,0,$624.00,,NA,,No,02/24/2025,06/30/2029,UNCHANGED,$624.00,$0.00,$0.00,2026-08-22: $624.00 → 2026-08-24: $2242025.00 (▲)
Memory,DDR5 Registered Smart Memory,HPE OCA > DL380 Gen12 > Memory > DDR5 Registered Smart Memory,Memory,max 32,0,32,Selection constraint for DDR5 Registered Smart Memory: max 32,P69727-F21,Standard,HPE 32GB (1x32GB) Dual Rank x8 DDR5-6400 CAS-52-52-52 EC8 Registered Smart FIO Memory Kit,2,"$13,909.00",,"$27,818.00",$434.66,No,04/06/2026,03/31/2028,UNCHANGED,"$13,909.00",$0.00,$0.00,2026-08-22: $13909.00 → 2026-08-24: $434.66 (▼)
Memory,DDR5 Registered Smart Memory,HPE OCA > DL380 Gen12 > Memory > DDR5 Registered Smart Memory,Memory,max 32,0,32,Mixing of x4 and x8 memory is not allowed,P69728-F21,Standard,HPE 64GB (1x64GB) Dual Rank x4 DDR5-6400 CAS-52-52-52 EC8 Registered Smart FIO Memory Kit,0,"$28,532.00",,NA,$445.81,No,04/06/2026,03/31/2028,UNCHANGED,"$28,532.00",$0.00,$0.00,2026-08-22: $28532.00 → 2026-08-24: (no price)
Memory,DDR5 Registered Smart Memory,HPE OCA > DL380 Gen12 > Memory > DDR5 Registered Smart Memory,Memory,max 32,0,32,These products are hidden due to Supply constraints,P69726-B21,Standard,HPE 16GB (1x16GB) Single Rank x8 DDR5-6400 CAS-52-52-52 EC8 Registered Smart Memory Kit,0,"$7,439.00",,NA,$464.94,No,02/24/2025,11/30/2027,UNCHANGED,"$7,439.00",$0.00,$0.00,2026-08-22: $7439.00 → 2026-08-24: (no price)
Memory,DDR5 Registered Smart Memory,HPE OCA > DL380 Gen12 > Memory > DDR5 Registered Smart Memory,Memory,max 32,0,32,These products are hidden due to Supply constraints,P69726-F21,Standard,HPE 16GB (1x16GB) Single Rank x8 DDR5-6400 CAS-52-52-52 EC8 Registered Smart FIO Memory Kit,0,"$7,439.00",,NA,$464.94,No,04/06/2026,11/30/2027,UNCHANGED,"$7,439.00",$0.00,$0.00,2026-08-22: $7439.00 → 2026-08-24: $464.94 (▼)
Memory,DDR5 Registered Smart Memory,HPE OCA > DL380 Gen12 > Memory > DDR5 Registered Smart Memory,Memory,max 32,0,32,96GB Memory cannot be mixed with any other Memory.,P69729-F21,Standard,HPE 96GB (1x96GB) Dual Rank x4 DDR5-6400 CAS-52-52-52 EC8 Registered Smart FIO Memory Kit,0,"$47,056.00",,NA,$490.17,No,04/06/2026,03/31/2028,UNCHANGED,"$47,056.00",$0.00,$0.00,2026-08-22: $47056.00 → 2026-08-24: (no price)
Memory,DDR5 Registered Smart Memory,HPE OCA > DL380 Gen12 > Memory > DDR5 Registered Smart Memory,Memory,max 32,0,32,128GB Memory cannot be mixed with any other Memory.,P69730-F21,Standard,HPE 128GB (1x128GB) Dual Rank x4 DDR5-6400 CAS-52-52-52 EC8 Registered Smart FIO Memory Kit,0,"$60,190.00",,NA,$470.23,No,04/06/2026,03/31/2028,UNCHANGED,"$60,190.00",$0.00,$0.00,2026-08-22: $60190.00 → 2026-08-24: (no price)
Memory,DDR5 Registered Smart Memory,HPE OCA > DL380 Gen12 > Memory > DDR5 Registered Smart Memory,Memory,max 32,0,32,Mixing of 3DS and non 3DS memory is not allowed.,P73447-F21,Standard,HPE 256GB (1x256GB) Quad Rank x4 DDR5-6400 CAS-60-52-52 EC8 Registered 3DS Smart FIO Memory Kit,0,"$133,186.00",,NA,$520.26,No,04/06/2026,03/31/2028,UNCHANGED,"$133,186.00",$0.00,$0.00,2026-08-22: $133186.00 → 2026-08-24: (no price)
Memory,DDR4 Registered Smart Memory,HPE OCA > DL380 Gen12 > Memory > DDR4 Registered Smart Memory,Chassis Infrastructure,max 32,0,32,Selection constraint for DDR4 Registered Smart Memory: max 32,P07818-B21,Standard,HPE DDR4 DIMM Blank Kit,0,$129.00,,NA,,No,10/01/2018,05/31/2028,UNCHANGED,$129.00,$0.00,$0.00,2026-08-22: $129.00 → 2026-08-24: $10012018.00 (▲)
