Main Category,Sub-Category,Hierarchy Path,Component Role,Constraint Text,Subcategory Min Qty,Subcategory Max Qty,Table Rule/Note,Product #,Option Type,Description,Current Qty,Unit Price (USD),Price Delta (USD),Extended Price (USD),Price per GB (USD),HPE Recommended,Start Date,Discontinued Date,Diff Status,Previous List Price (USD),Price Change (USD),Price Change (%),Price History Trail
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73829-B21,Standard,Intel Xeon 6740P 2.1GHz 48-core 270W Processor for HPE,0,"$13,124.00","$8,882.00","$26,248.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$13,124.00",$0.00,$0.00,2026-08-12: $13124.00 → 2026-08-12: $13124.00 → 2026-08-13: $13124.00 → 2026-08-14: $13124.00 → 2026-08-16: $13124.00 → 2026-08-19: $13124.00 → 2026-08-22: $13124.00 → 2026-08-22: $13124.00 → 2026-08-24: $8882.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73831-B21,Standard,Intel Xeon 6747P 2.7GHz 48-core 330W Processor for HPE,0,"$16,595.00","$12,353.00","$33,190.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$16,595.00",$0.00,$0.00,2026-08-12: $16595.00 → 2026-08-12: $16595.00 → 2026-08-13: $16595.00 → 2026-08-14: $16595.00 → 2026-08-16: $16595.00 → 2026-08-19: $16595.00 → 2026-08-22: $16595.00 → 2026-08-22: $16595.00 → 2026-08-24: $12353.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73832-B21,Standard,Intel Xeon 6760P 2.2GHz 64-core 330W Processor for HPE,0,"$16,517.00","$12,275.00","$33,034.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$16,517.00",$0.00,$0.00,2026-08-12: $16517.00 → 2026-08-12: $16517.00 → 2026-08-13: $16517.00 → 2026-08-14: $16517.00 → 2026-08-16: $16517.00 → 2026-08-19: $16517.00 → 2026-08-22: $16517.00 → 2026-08-22: $16517.00 → 2026-08-24: $12275.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73835-B21,Standard,Intel Xeon 6768P 2.4GHz 64-core 330W Processor for HPE,0,"$48,922.00","$44,680.00","$97,844.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$48,922.00",$0.00,$0.00,2026-08-12: $48922.00 → 2026-08-12: $48922.00 → 2026-08-13: $48922.00 → 2026-08-14: $48922.00 → 2026-08-16: $48922.00 → 2026-08-19: $48922.00 → 2026-08-22: $48922.00 → 2026-08-22: $48922.00 → 2026-08-24: $44680.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73837-B21,Standard,Intel Xeon 6787P 2.0GHz 86-core 350W Processor for HPE,0,"$23,285.00","$19,043.00","$46,570.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$23,285.00",$0.00,$0.00,2026-08-12: $23285.00 → 2026-08-12: $23285.00 → 2026-08-13: $23285.00 → 2026-08-14: $23285.00 → 2026-08-16: $23285.00 → 2026-08-19: $23285.00 → 2026-08-22: $23285.00 → 2026-08-22: $23285.00 → 2026-08-24: $19043.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P73838-B21,Standard,Intel Xeon 6788P 2.0GHz 86-core 350W Processor for HPE,0,"$58,094.00","$53,852.00","$116,188.00",,No,06/02/2025,06/30/2029,UNCHANGED,"$58,094.00",$0.00,$0.00,2026-08-12: $58094.00 → 2026-08-12: $58094.00 → 2026-08-13: $58094.00 → 2026-08-14: $58094.00 → 2026-08-16: $58094.00 → 2026-08-19: $58094.00 → 2026-08-22: $58094.00 → 2026-08-22: $58094.00 → 2026-08-24: $53852.00 (▼)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74503-B21,Standard,Intel Xeon 6505P 2.2GHz 12-core 150W Processor for HPE,0,"$1,756.00","-$2,486.00","$3,512.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$1,756.00",$0.00,$0.00,2026-08-12: $1756.00 → 2026-08-12: $1756.00 → 2026-08-13: $1756.00 → 2026-08-14: $1756.00 → 2026-08-16: $1756.00 → 2026-08-19: $1756.00 → 2026-08-22: $1756.00 → 2026-08-22: $1756.00 → 2026-08-24: (no price)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74504-B21,Standard,Intel Xeon 6507P 3.5GHz 8-core 150W Processor for HPE,0,"$2,293.00","-$1,949.00","$4,586.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$2,293.00",$0.00,$0.00,2026-08-12: $2293.00 → 2026-08-12: $2293.00 → 2026-08-13: $2293.00 → 2026-08-14: $2293.00 → 2026-08-16: $2293.00 → 2026-08-19: $2293.00 → 2026-08-22: $2293.00 → 2026-08-22: $2293.00 → 2026-08-24: (no price)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74507-B21,Standard,Intel Xeon 6517P 3.2GHz 16-core 190W Processor for HPE,0,"$3,734.00",-$508.00,"$7,468.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$3,734.00",$0.00,$0.00,2026-08-12: $3734.00 → 2026-08-12: $3734.00 → 2026-08-13: $3734.00 → 2026-08-14: $3734.00 → 2026-08-16: $3734.00 → 2026-08-19: $3734.00 → 2026-08-22: $3734.00 → 2026-08-22: $3734.00 → 2026-08-24: (no price)
Processor,Intel Xeon 6th Gen Scalable Processors,HPE OCA > DL380 Gen12 SFF > Processor > Intel Xeon 6th Gen Scalable Processors,Processor,"min 1, max 2",1,2,"Selection constraint for Intel Xeon 6th Gen Scalable Processors: min 1, max 2",P74568-B21,Standard,Intel Xeon 6520P 2.4GHz 24-core 210W Processor for HPE,2,"$4,242.00",Selected,"$8,484.00",,No,02/24/2025,06/30/2029,UNCHANGED,"$4,242.00",$0.00,$0.00,2026-08-12: $4242.00 → 2026-08-12: $4242.00 → 2026-08-13: $4242.00 → 2026-08-14: $4242.00 → 2026-08-16: $4242.00 → 2026-08-19: $4242.00 → 2026-08-22: $4242.00 → 2026-08-22: $4242.00 → 2026-08-24: $2.00 (▼)
